,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
8621,2541,4.0,32,7,1,111,4,6,6.0,0.0,1.0,0.0,71.0,15.0,1.0,14.0,2.0,0
8622,1657,4.0,9,0,1,33,6,1,0.0,0.0,0.0,0.0,21.0,5.0,0.0,5.0,1.0,0
8623,19218,4.0,13,1,2,68,7,3,0.0,0.0,1.0,0.0,42.0,11.0,1.0,10.0,2.0,1
8624,8069,4.0,16,0,1,49,5,2,0.0,0.0,0.0,0.0,36.0,6.0,0.0,5.0,1.0,0
8625,19207,3.0,6,0,3,35,3,3,0.0,0.0,0.0,0.0,22.0,5.0,0.0,5.0,2.0,1
8626,8644,4.0,14,16,2,85,4,8,12.0,0.0,4.0,1.0,43.0,9.0,3.0,10.0,2.0,0
8627,2710,4.0,33,87,14,229,3,2,54.0,26.0,7.0,26.0,76.0,16.0,7.0,16.0,0.0,0
8628,6316,4.0,12,2,2,38,3,2,1.0,1.0,0.0,0.0,23.0,6.0,1.0,5.0,0.0,0
8629,7549,5.0,17,29,2,112,5,2,19.0,9.0,1.0,10.0,58.0,7.0,0.0,7.0,0.0,0
8630,4266,4.0,10,19,1,49,3,3,18.0,0.0,0.0,0.0,20.0,5.0,1.0,4.0,0.0,0
8631,18703,4.0,12,0,2,41,3,3,0.0,0.0,0.0,0.0,28.0,6.0,0.0,6.0,0.0,1
8632,6715,4.0,31,0,1,92,8,5,0.0,0.0,0.0,0.0,65.0,12.0,0.0,12.0,2.0,0
8633,422,5.0,33,23,1,131,7,2,16.0,3.0,4.0,3.0,66.0,17.0,4.0,17.0,0.0,0
8634,10972,4.0,23,2,2,97,4,5,1.0,0.0,1.0,0.0,59.0,16.0,1.0,16.0,2.0,1
8635,5316,4.0,29,2,1,103,9,6,0.0,2.0,0.0,0.0,62.0,17.0,2.0,15.0,4.0,0
8636,15217,3.0,4,1,5,30,2,1,0.0,0.0,1.0,1.0,16.0,5.0,0.0,6.0,0.0,1
8637,8849,4.0,19,0,1,52,3,2,0.0,0.0,0.0,0.0,39.0,6.0,0.0,6.0,0.0,0
8638,19903,4.0,10,0,2,42,4,3,0.0,0.0,0.0,0.0,29.0,5.0,0.0,5.0,2.0,1
8639,9673,3.0,5,0,2,16,2,1,0.0,0.0,0.0,0.0,10.0,3.0,0.0,2.0,0.0,0
8640,2845,4.0,14,0,1,43,5,1,0.0,0.0,0.0,0.0,28.0,7.0,0.0,6.0,1.0,0
8641,4066,4.0,25,12,1,107,7,3,2.0,3.0,6.0,4.0,52.0,14.0,6.0,14.0,5.0,0
8642,18823,4.0,24,4,3,90,8,3,2.0,0.0,1.0,0.0,55.0,14.0,2.0,13.0,2.0,1
8643,11576,4.0,5,4,2,27,2,2,3.0,0.0,0.0,1.0,14.0,4.0,0.0,4.0,0.0,1
8644,5244,4.0,43,1,3,144,3,3,0.0,0.0,1.0,1.0,102.0,19.0,0.0,20.0,0.0,0
8645,1001,4.0,22,0,1,67,3,3,0.0,0.0,0.0,0.0,47.0,10.0,0.0,9.0,0.0,0
8646,4198,4.0,9,0,1,32,5,1,0.0,0.0,0.0,0.0,21.0,5.0,0.0,4.0,1.0,0
8647,2418,4.0,14,38,3,90,7,2,36.0,0.0,1.0,1.0,31.0,9.0,1.0,9.0,1.0,0
8648,17736,4.0,5,4,2,27,2,2,3.0,0.0,0.0,1.0,14.0,4.0,0.0,4.0,0.0,1
8649,3575,3.0,12,2,1,35,2,2,1.0,0.0,0.0,0.0,27.0,3.0,1.0,2.0,0.0,0
8650,6726,3.0,12,0,2,30,2,2,0.0,0.0,0.0,0.0,21.0,4.0,0.0,4.0,0.0,0
8651,3847,4.0,22,5,3,72,5,1,3.0,0.0,1.0,1.0,47.0,9.0,1.0,9.0,0.0,0
8652,961,4.0,24,0,2,98,5,7,0.0,0.0,0.0,0.0,64.0,16.0,0.0,15.0,2.0,0
8653,9772,3.0,8,0,1,27,2,2,0.0,0.0,0.0,0.0,20.0,3.0,0.0,3.0,0.0,0
8654,18053,4.0,18,13,2,70,3,6,9.0,0.0,4.0,4.0,34.0,7.0,0.0,11.0,0.0,1
8655,15841,3.0,4,0,2,15,1,0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,1
8656,10398,3.0,15,0,2,39,3,2,0.0,0.0,0.0,0.0,28.0,5.0,0.0,5.0,0.0,1
8657,12458,4.0,18,2,4,83,7,5,1.0,0.0,0.0,0.0,53.0,13.0,1.0,12.0,2.0,1
8658,3854,4.0,8,7,3,43,4,2,6.0,0.0,0.0,0.0,22.0,7.0,1.0,6.0,0.0,0
8659,4887,3.0,8,36,2,142,5,5,3.0,3.0,30.0,28.0,19.0,11.0,5.0,36.0,6.0,0
8660,12423,3.0,6,0,3,26,2,2,0.0,0.0,0.0,0.0,15.0,5.0,0.0,5.0,0.0,1
8661,757,4.0,20,0,1,61,4,3,0.0,0.0,0.0,0.0,44.0,8.0,0.0,8.0,0.0,0
8662,13058,4.0,29,3,3,100,8,3,1.0,0.0,1.0,0.0,66.0,14.0,2.0,13.0,2.0,1
8663,18469,4.0,21,6,3,83,7,3,4.0,0.0,1.0,0.0,48.0,13.0,2.0,12.0,2.0,1
8664,5313,4.0,14,5,2,44,3,5,2.0,2.0,0.0,1.0,22.0,8.0,2.0,6.0,0.0,0
8665,2284,4.0,22,18,1,82,3,2,15.0,0.0,2.0,0.0,44.0,9.0,3.0,8.0,0.0,0
